Wavelength,A,B,C,D,X,Y,Z,Red-1,Red,Green,Blue,CIE-A,CIE-B,CIE-C,D50,D55,D65,D93,CIE-E
300,0.04,0.02,0,0,0,0,0,0,0,0,0,0.930483,0,0,0,0,0.0341,0,0
305,3.02,2.26,1,0,0,0,0,0,0,0,0,1.12821,0,0,0,0,1.6643,0,0
310,6,4.5,2,0,0,0,0,0,0,0,0,1.35769,0,0,0,0,3.2945,0,0
315,17.8,13.45,3,0,0,0,0,0,0,0,0,1.62219,0,0,0,0,11.7652,0,0
320,29.6,22.4,4,0,0,0,0,0,0,0,0,1.92508,0,0,0,0,20.236,0,0
325,42.45,32.2,6.25,0,0,0,0,0,0,0,0,2.2698,0,0,0,0,28.6447,0,0
330,55.3,42,8.5,0,0,0,0,0,0,0,0,2.65981,0,0,0,0,37.0535,0,0
335,56.3,41.3,8.15,0,0,0,0,0,0,0,0,3.09861,0,0,0,0,38.5011,0,0
340,57.3,40.6,7.8,0,0,0,0,0,0,0,0,3.58968,2.4,0,0,0,39.9488,0,0
345,59.55,41.1,7.25,0,0,0,0,0,0,0,0,4.13648,4,0,0,0,42.4302,0,0
350,61.8,41.6,6.7,0,0,0,0,0,0,0,0,4.74238,5.6,0,0,0,44.9117,0,0
355,61.65,39.8,6,0,0,0,0,0,0,0,0,5.4107,7.6,0,0,0,45.775,0,0
360,61.5,38,5.3,0,0.0001299,0.000003917,0.0006061,0.0066127495,0,0,0,6.14462,9.6,0,0,0,46.6383,0,0
365,65.15,40.2,5.7,0,0.0002321,0.000006965,0.001086,0.0118205593,0,0,0,6.9472,12.4,0,0,0,49.3637,0,0
370,68.8,42.4,6.1,0,0.0004149,0.00001239,0.001946,0.0211380815,0,0,0,7.82135,15.2,0,0,0,52.0891,0,0
375,66.1,40.45,4.55,0,0.0007416,0.00002202,0.003486,0.0377947709,0,0,0,8.7698,18.8,0,0,0,51.0323,0,0
380,63.4,38.5,3,0,0.001368,0.000039,0.006450001,0.0697217929,0,0,0,9.7951,22.4,33,24.5,32.58,49.9755,92.42,100
385,64.6,36.75,2.1,0,0.002236,0.000064,0.01054999,0.1139802747,0,0,0,10.8996,26.85,39.92,27.2,35.34,52.3118,92.69,100
390,65.8,35,1.2,0.000414616,0.004243,0.00012,0.02005001,0.2163154873,0.0018397,-0.00045393,0.012152,12.0853,31.3,47.4,29.8,38.09,54.6482,92.96,100
395,80.3,39.2,0.05,0.00105965,0.00765,0.000217,0.03621,0.390140769,0.0046153,-0.0010464,0.03111,13.3543,36.18,55.17,39.6,49.52,68.7015,111.38,100
400,94.8,43.4,-1.1,0.00245219,0.01431,0.000396,0.06785001,0.7298060613,0.0096264,-0.0021689,0.062371,14.708,41.3,63.3,49.3,60.95,82.7549,129.8,100
405,99.8,44.85,-0.8,0.00497172,0.02319,0.00064,0.1102,1.18312222,0.018979,-0.0044304,0.13161,16.148,46.62,71.81,52.9,64.75,87.1204,135.8,100
410,104.8,46.3,-0.5,0.00907986,0.04351,0.00121,0.2074,2.22125073,0.030803,-0.0072048,0.2275,17.6753,52.1,80.6,56.5,68.55,91.486,141.8,100
415,105.35,45.1,-0.6,0.0142938,0.07763,0.00218,0.3713,3.96601194,0.042459,-0.012579,0.35897,19.2907,57.7,89.53,58.3,70.07,92.4589,141.45,100
420,105.9,43.9,-0.7,0.0202737,0.13438,0.004,0.6456,6.87565028,0.051662,-0.016651,0.52396,20.995,63.2,98.1,60,71.58,93.4318,141.1,100
425,101.35,40.5,-0.95,0.0261211,0.21477,0.0073,1.0390501,11.0221363633,0.052837,-0.02124,0.68586,22.7883,68.37,105.8,58.9,69.75,90.057,133.98,100
430,96.8,37.1,-1.2,0.0331904,0.2839,0.0116,1.3856,14.6348014,0.044287,-0.019936,0.79604,24.6709,73.1,112.4,57.8,67.91,86.6823,126.85,100
435,105.35,36.9,-1.9,0.0415794,0.3285,0.01684,1.62296,17.04462896,0.03222,-0.016097,0.89459,26.6425,77.31,117.75,66.3,76.76,95.7736,135.6,100
440,113.9,36.7,-2.6,0.0503366,0.34828,0.023,1.74706,18.23136486,0.014763,-0.0073457,0.96395,28.7027,80.8,121.5,74.8,85.61,104.865,144.35,100
445,119.75,36.3,-2.75,0.0574339,0.34806,0.0298,1.7826,18.43560516,-0.0023392,0.001369,0.99814,30.8508,83.44,123.45,81,91.8,110.936,149.96,100
450,125.6,35.9,-2.9,0.0647235,0.3362,0.038,1.77211,18.10053983,-0.02913,0.01961,0.91875,33.0859,85.4,124,87.2,97.99,117.008,155.57,100
455,125.55,34.25,-2.85,0.0723834,0.3187,0.048,1.7441,17.5372615,-0.060677,0.043464,0.82487,35.4068,86.88,123.6,88.9,99.23,117.41,154.18,100
460,125.5,32.6,-2.8,0.0851482,0.2908,0.06,1.6692,16.4969204,-0.096224,0.070954,0.78554,37.8121,88.3,123.1,90.6,100.46,117.812,152.8,100
465,123.4,30.25,-2.7,0.106014,0.2511,0.0739,1.5281,14.8823192,-0.13759,0.11022,0.66723,40.3002,90.08,123.3,91,100.19,116.336,148.78,100
470,121.3,27.9,-2.6,0.129896,0.19536,0.09098,1.28764,12.48169834,-0.17486,0.15088,0.61098,42.8693,92,123.8,91.4,99.91,114.861,144.77,100
